epoch,seed,lr,train_loss,val_loss
1,51,0.001,0.005609440048998695,0.0045113542993717335
2,51,0.0009999383779245895,0.0056108265791593465,0.004511428531259298
3,51,0.000999753526902683,0.005617271011726836,0.004512451821938157
4,51,0.0009994454925435043,0.005615236667789898,0.004512917674968348
5,51,0.000999014350849922,0.005614816376907846,0.004512184107785716
6,51,0.0009984602081996978,0.00561628225890888,0.0045123124659499705
7,51,0.0009977832013192388,0.00561679249345246,0.004511742893715992
8,51,0.0009969834972498627,0.005616899366664179,0.00451150444774505
9,51,0.000996061293306582,0.0056167860570663615,0.004513870554921382
10,51,0.0009950168170294207,0.005612571218635066,0.004523811423603226
11,51,0.0009938503261272716,0.005613102538163884,0.004514370729927631
12,51,0.0009925621084143099,0.005612382610028578,0.004514755790724474
13,51,0.0009911524817389804,0.005618345300209219,0.004511126974488006
14,51,0.0009896217939055723,0.005617109383851037,0.004511749412974014
15,51,0.0009879704225884047,0.005615590562475688,0.004511442884583683
16,51,0.0009861987752386398,0.005618137268002255,0.004511126385563437
17,51,0.0009843072889837514,0.0056239658990338195,0.004514589138767298
18,51,0.0009822964305196704,0.005623809906448853,0.004514537532539929
19,51,0.0009801666959956333,0.005626205216809097,0.004511243307634312
20,51,0.0009779186108917661,0.005618481241734856,0.0045119084226077095
21,51,0.0009755527298894296,0.005626272027364979,0.004533814786769012
22,51,0.0009730696367343592,0.005627228969202961,0.004520821754875428
23,51,0.0009704699440926359,0.00562423173243464,0.004515297423281214
24,51,0.0009677542933995191,0.005618665055608598,0.004515714368180317
25,51,0.0009649233547011819,0.005622127345936783,0.004513292422737269
26,51,0.000961977826489388,0.005618713247605552,0.0045250019414679096
27,51,0.0009589184355291488,0.005626733300386597,0.004526830470079885
28,51,0.0009557459366794051,0.005620268118267847,0.00451452745234265
29,51,0.000952461112706777,0.005626264545214125,0.004539912347407902
30,51,0.0009490647740924278,0.005617783716643008,0.0045395628138280965
31,51,0.00094555775883209,0.005627759278483562,0.004516978583791677
32,51,0.0009419409322293028,0.005621351854149568,0.004527032525990815
33,51,0.0009382151866819101,0.005617972988224888,0.004517697866129524
34,51,0.0009343814414618769,0.00561929468886327,0.004514409722212483
35,51,0.0009304406424884702,0.005620657588686731,0.004511512966607423
36,51,0.0009263937620948695,0.005618504808931533,0.004514087936567033
37,51,0.000922241798788257,0.005616409246320442,0.004512122133746743
38,51,0.0009179857770034514,0.005622717319056392,0.004513252636089045
39,51,0.000913626746850144,0.005629842343219256,0.004523022387943724
40,51,0.0009091657838537996,0.005615178483806677,0.00451431331663009
41,51,0.0009046039886902867,0.005613388063512363,0.004534091033479746
42,51,0.0008999424869143022,0.0056294275652932916,0.004512007361935342
43,51,0.0008951824286816577,0.005624406371202509,0.004548695335602935
44,51,0.0008903249884654961,0.005627551084479033,0.004524825853021706
45,51,0.0008853713647665072,0.005616841285284293,0.0045124448918025285
46,51,0.000880322779817216,0.005615768851554495,0.004525602945838781
