mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0009140082374897,0.0058957414605596,0.0302325691513262,0.1641640322357137,1.6268875781633418,0.2807061408119768,82.55326380041566,1.2112866000052236,0,92.29018878936768
0.000914107631608,0.0059110689933666,0.0302342129318439,0.1641818843059473,1.6332383827720929,0.2814359103602535,83.75403655977703,1.31992619999437,1,76.02997422218323
0.0009141925765363,0.0058986886234814,0.0302356176807474,0.1641971411727529,1.6258002247928922,0.2808464601824343,82.37994503071683,0.97686079993764,2,97.9039556980133
0.0009144545853449,0.0059263715435382,0.0302399501544721,0.1642442002918532,1.6596739815061288,0.282164490443351,86.04235487458249,0.7068922000144084,3,74.13113570213318
0.0009130564802501,0.005904269007291,0.0302168244567513,0.1639930881459854,1.659922937503559,0.2811121516164839,83.31844525254117,0.7525858000008157,4,90.56397032737732
0.0009134053427234,0.005921432487598,0.0302225965582619,0.164055746957985,1.654635958249561,0.2819293337049647,85.18252324914506,0.8919816000343417,5,74.34914207458496
0.0009136873303545,0.0058893902877759,0.030227261377017,0.1641063944517969,1.6596495505558218,0.2804037508219014,82.34801996950404,1.1195478000445291,6,92.03170490264893
0.0009231560125747,0.0059251389607966,0.0303834825616613,0.1658070542374322,1.6286966651663837,0.2821058051114117,83.73097690856571,0.999625399708748,7,89.07923412322998
0.0009118873072375,0.0058733326150331,0.0301974718683121,0.1637830942441137,1.6325057686981912,0.2796392180865015,80.67105449895766,1.1105915998996352,8,100.23742365837096
0.0009147867602639,0.0058741348471128,0.0302454419750135,0.1643038618702347,1.6219178053796215,0.2796774137015282,79.82493468775138,0.6817117999162292,9,145.7506079673767
