Dataset,Model,Seq_Len,MSE (x10^-3),MAE (x10^-3),RMSE,RSE,MAPE,Inference Time (ms)
SDN,ST-WaveFormer,60,15.563525632023758,66.11320227384563,0.12475124895572656,0.14902338385581965,3675.5501708984375,3.74662591584638
SDN,ST-WaveNet-Hybrid,60,15.685378760099379,66.68946593999858,0.1252374798059463,0.15019015669822688,4525.607360839844,4.7737820209812
SDN,LocalSpatialTCN,60,15.13559110462662,66.68948978185648,0.12302668094635003,0.144925844669342,0.3057506918907166,1.8101834632130036
GEANT,ST-WaveFormer,24,0.8638887898996,5.3711310960352,0.029391973093152023,0.15516212284564967,4449.29658203125,3.741868146875383
GEANT,ST-WaveNet-Hybrid,24,0.7347151986323,5.36728445440526,0.027105538547038982,0.13196139633655543,4794.99677734375,5.181887117728098
GEANT,LocalSpatialTCN,24,0.8538849651813001,5.63611807301634,0.02922130972146984,0.15336534678936,1.0708475351333617,1.7140003764632854
ABILENE,ST-WaveFormer,24,2.4598210584371603,17.41386391222472,0.04959656521677965,0.12224774658679957,7374.07646484375,3.144855366698418
ABILENE,ST-WaveNet-Hybrid,24,1.9771141000091401,16.98776520788664,0.04446454122662542,0.09825825840234752,7453.690625,4.601307546653819
ABILENE,LocalSpatialTCN,24,2.3613385856151,17.859024554491,0.04859360605478284,0.11777129918336866,0.29842959642410277,1.5271730200026163
