seed,lr,mse,mae,rmse,rse,mape,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,inference_time_ms,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw,run,seq_len
42.0,0.001,0.0008543364237993,0.005633398424834,0.0292290337383747,0.1534464359283447,1.070433497428894,0.268215537071228,77.30657196044922,1469.9429931640625,8921.173913785113,0.1086410582065582,50.79951858520508,2.0962275294109265,237.6361083984375,962.6199340820312,0.5387823581695557,0,24
43.0,0.001,0.0008539677364751,0.0056353076361119,0.0292227268218994,0.1533802151679992,1.070321559906006,0.2683064341545105,80.11780548095703,1473.70849609375,8921.260897429242,0.1089193597435951,53.311790466308594,1.6030655882358962,237.6021728515625,962.310546875,0.5387054085731506,1,24
44.0,0.001,0.0008534658118151,0.0056391628459095,0.0292141363024711,0.1532900631427765,1.071974515914917,0.2684899866580963,82.94676208496094,1480.597412109375,8921.945527742253,0.1094285100698471,55.90666961669922,1.5609432058253707,237.5816345214844,961.8305053710938,0.538658857345581,2,24
45.0,0.001,0.0008536545792594,0.0056375749409198,0.029217367991805,0.1533239632844925,1.071158766746521,0.2684143781661987,81.9161376953125,1477.6695556640625,8921.596269726624,0.10921211540699,54.94570159912109,1.60943782355068,237.58621215820312,962.0022583007812,0.538669228553772,3,24
46.0,0.001,0.0008540002745576,0.0056351465173065,0.029223283752799,0.1533860564231872,1.0703493356704712,0.2682987749576568,79.78046417236328,1473.023681640625,8921.220544297736,0.1088687479496002,52.9966049194336,1.700327735293553,237.6018829345703,962.3060302734376,0.5387047529220581,4,24
47.0,0.001,0.0008539349073544145,0.0056355660781264305,0.029222164303064346,0.1533743143081665,1.0704420804977417,0.26831871271133423,80.21951293945312,1473.81396484375,8921.267622933414,0.1089271530508995,53.393192291259766,1.8247975882291831,237.59939575195312,962.2486572265625,0.5386990904808044,5,24
48.0,0.001,0.0008541418937966228,0.005634330678731203,0.029225705191493034,0.15341149270534515,1.0702513456344604,0.2682599127292633,78.94757080078125,1471.8291015625,8921.180639354861,0.10878045111894608,52.266990661621094,1.5826058823235787,237.61383056640625,962.4554443359375,0.5387318134307861,6,24
49.0,0.001,0.0008539456757716835,0.005635497625917196,0.02922234870493412,0.1533762514591217,1.0704264640808105,0.26831546425819397,80.14898681640625,1473.680419921875,8921.2595523278,0.10891728848218918,53.328514099121094,1.592095558795764,237.59996032714844,962.258056640625,0.5387004017829895,7,24
50.0,0.001,0.0008537694811820984,0.005636712536215782,0.029219334945082664,0.15334460139274597,1.070805549621582,0.2683733105659485,81.25193786621094,1476.0035400390625,8921.434862173237,0.10908898711204529,54.3395881652832,1.559704647046173,237.59165954589844,962.1028442382812,0.5386815667152405,8,24
51.0,0.001,0.0008541111019439995,0.005634517874568701,0.02922517992556095,0.15340596437454224,1.0702461004257202,0.2682688236236572,79.20459747314453,1472.1929931640625,8921.192296997078,0.10880734771490097,52.49183654785156,1.5475245882311464,237.611572265625,962.4352416992188,0.5387266874313354,9,24
