mse,mae,rmse,rse,mape,inference_time_ms,run,seq_len,seed,lr,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw
0.0024532920215278,0.0174008253961801,0.0495307184755802,0.1219232678413391,7601.0146484375,3.09077755998563,0,24,,,,,,,,,,,
0.0024578853044658,0.0174016505479812,0.0495770648121833,0.1221515387296676,7142.14501953125,3.1876567600071817,1,24,,,,,,,,,,,
0.0024648657999932,0.0174280311912298,0.0496474131941795,0.1224984601140022,6945.4130859375,3.184601413267956,2,24,,,,,,,,,,,
0.002463485347107,0.0174511447548866,0.0496335104107856,0.1224298551678657,7668.53759765625,3.117697119972339,3,24,,,,,,,,,,,
0.002459576819092,0.0173876676708459,0.0495941191911697,0.1222356110811233,7513.27197265625,3.143543980258982,4,24,,,,,,,,,,,
0.0019924540538340807,0.016969863325357437,0.044636912643909454,0.09937325119972229,0.281196266412735,3.2611915666651234,5,24,47.0,0.001,0.15353962779045105,29.9537353515625,1116112.75,6331873.508457351,0.13181789219379425,26.279338836669922,720783.125,1247450.375,0.07950407266616821
0.00197080010548234,0.016940610483288765,0.04439369589090347,0.09829326719045639,0.2810858190059662,3.5025671999756014,6,24,48.0,0.001,0.15327495336532593,29.96210479736328,1118588.375,6503313.311607245,0.13211028277873993,26.072036743164062,719356.75,1243054.125,0.07934673875570297
0.001967471092939377,0.016920069232583046,0.04435618594288826,0.09812723845243454,0.2823757827281952,3.3068944734016745,7,24,49.0,0.001,0.15308909118175507,30.124574661254883,1117001.5,6405137.5986968465,0.1319228559732437,25.96466827392578,720717.5,1249559.5,0.079496830701828
0.001981149660423398,0.016919128596782684,0.04451010748744011,0.09880945086479187,0.282234787940979,3.274398006760748,8,24,50.0,0.001,0.15308058261871338,30.31293487548828,1117302.25,6340794.539891669,0.13195838034152985,25.883033752441406,720849.0,1249844.375,0.07951133698225021
0.0019801275338977575,0.016954731196165085,0.04449862241744995,0.09875847399234772,0.28069645166397095,3.3069434998954725,9,24,51.0,0.001,0.15340270102024078,30.334299087524414,1117374.5,6353466.403793129,0.13196690380573273,25.870168685913086,719543.625,1245686.625,0.07936735451221466
