mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0027915864128227,0.039675772512179,0.0528354654831656,0.2450519262552254,2.7883830567886867,0.3770011133888875,60.63044760965284,1.327079999828129,0,0.3063948154449463
0.0029679689368814,0.0176946868115754,0.05447906879602,0.1480268539555788,0.3149257090576082,0.1600976752015211,28.79074960223365,2.2046948000024718,1,187.7910475730896
0.0029400449628561,0.0176743241318932,0.0542221814653023,0.1466341513657572,0.3110123915662218,0.1599134381074876,28.75530566636809,1.7038346000390447,2,133.44129300117493
0.0028591468725148,0.0175701640326972,0.0534709909438274,0.1425993753762154,0.3112658972937452,0.1589710201993544,28.765808658184355,1.3981833999423543,3,101.19540786743164
0.0029360712391621,0.0176616631288729,0.0541855261039528,0.1464359626955171,0.3124779699173851,0.1597988841076996,28.707179659252795,2.005822799856105,4,173.37194728851318
0.0029539489004277,0.0177126334120624,0.0543502428736776,0.1473276074564661,0.3141489526000517,0.1602600521368319,28.743400072468965,2.396185199904721,5,183.91410088539124
0.0028874973520677,0.0176204153777564,0.0537354385119146,0.1440133498434663,0.3119582283286947,0.1594256834327532,28.832648853520897,1.4030025995452888,6,107.07628560066225
0.0029211753704153,0.0176389078043459,0.0540478988529192,0.1456930342368941,0.3122112775487589,0.1595929988838457,28.718775781920613,2.2416829990106635,7,183.6121790409088
0.0029504125323992,0.0176866187077433,0.0543176999918007,0.1471512318121053,0.315205362190858,0.1600246767539899,28.73949096480425,2.071753199561499,8,166.1908791065216
0.0028749927178517,0.0176054633323295,0.0536189585673923,0.1433896837262569,0.3127963104876267,0.1592904005798918,28.770940047177277,1.3698035989364143,9,120.6429853439331
