mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,run
0.0008253071225499697,0.005394575375319782,0.028728159052573657,0.14823252079517557,1.0395477048907045,0.2568447828072828,77.54443926277922,0.011959499983384055,0.8706351079999877,0.5003657341003418,0.23548036813735962,0.26415395736694336,0
0.0008205572454918232,0.00545283172340926,0.028645370402419712,0.14737940050751733,1.1470516090963225,0.2596184652625586,79.70651776607568,0.008633823520486819,0.8722923469995294,0.37450093030929565,0.18675242364406586,0.43874648213386536,1
0.0007956871447417737,0.005431766856922387,0.02820792698412582,0.14291250857616045,1.1343401654907768,0.2586155316336325,78.58159472836181,0.00859270588026608,0.8715384460001587,0.4042726755142212,0.1988295018672943,0.3968977928161621,2
0.0007847605226082362,0.005473786784435828,0.028013577468938813,0.14094998977755097,1.1886476510013664,0.26061617086932537,79.99163852106193,0.009169764700131696,0.8711105780002981,0.30415183305740356,0.20565158128738403,0.4901965260505676,3
0.0008106170662016706,0.0055196722546580305,0.028471337625789038,0.14559405564246547,1.2651555253016025,0.2628008550776785,80.7053101431969,0.00837311763996909,0.8731827519995932,0.2450067549943924,0.1915292739868164,0.5634638667106628,4
0.0007975274323799509,0.005474723666930635,0.028240528188756508,0.14324304065099866,1.1916216496080845,0.2606607774164867,80.31689604826468,0.009338294095120063,0.8728396860005887,0.3110705018043518,0.20717447996139526,0.4817550480365753,5
0.0008233512716194225,0.005585441394750987,0.028694098201885045,0.14788123252222474,1.3512236146527314,0.2659322341626534,82.82596779823156,0.016341617645272945,0.8747735890001422,0.24059660732746124,0.14129191637039185,0.6181114315986633,6
0.0007877684047375824,0.005556030034814608,0.028067212272286368,0.14149023223772766,1.3087326349862791,0.26453190997968123,82.41558833502317,0.0081627352782936,0.8750821409994387,0.24506014585494995,0.1398024559020996,0.6151374578475952,7
0.0007761642231805876,0.005473112540064067,0.027859724032742814,0.13940601772296188,1.1993378722060808,0.26058406896376735,79.8241150687976,0.008577176472232061,0.8752823300001182,0.3236178457736969,0.2092747688293457,0.46710720658302307,8
0.0007374495298222415,0.005452891388127349,0.027156021980810102,0.1324525134679778,1.1760357324613016,0.2596213059998721,79.66745039254978,0.008950794113736586,0.8774357619995499,0.3583510220050812,0.21037039160728455,0.43127861618995667,9
