mse,mae,rmse,rse,mape,inference_time_ms,run,seq_len,seed,lr,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw
0.0156644862145185,0.0666084885597229,0.1251578480005264,0.1499900966882705,6821.15380859375,3.991127105253231,0,60,,,,,,,,,,,
0.0155891673639416,0.0662730857729911,0.1248565837740898,0.1492689102888107,5335.216796875,3.7772291054448273,1,60,,,,,,,,,,,
0.0158405490219593,0.0675697475671768,0.1258592456579208,0.1516759246587753,1011.512939453125,3.7627357895345135,2,60,,,,,,,,,,,
0.0154907749965786,0.0654984638094902,0.1244619414210319,0.1483267843723297,1724.3760986328125,3.6657180526641526,3,60,,,,,,,,,,,
0.0152326505631208,0.0646162256598472,0.123420625925064,0.1458552032709121,3485.4912109375,3.536319526335176,4,60,,,,,,,,,,,
0.0150804352015256,0.0643310472369194,0.1228024214506149,0.1443977206945419,0.2887990772724151,3.6869829473768103,5,60,47.0,0.001,0.128000721335411,34.187103271484375,1203.0679931640625,3068.17062758902,0.078807882964611,20.396503448486328,68.76844024658203,88.41754150390625,0.1957770138978958
0.0148502523079514,0.0639610439538955,0.1218616142868995,0.1421936750411987,0.2932071685791015,3.4909067370264037,6,60,48.0,0.001,0.127264529466629,34.220680236816406,1196.2550048828125,3043.722063526826,0.0783616006374359,22.28208541870117,67.37440490722656,85.867431640625,0.1918083280324936
0.0153763992711901,0.0653325766324997,0.124001607298851,0.1472316235303878,0.2975243031978607,3.3487356841329814,7,60,49.0,0.001,0.1299934834241867,34.46636962890625,1224.7591552734375,3087.3640860773125,0.0802287831902504,25.775115966796875,65.8959732055664,84.21586608886719,0.1875993907451629
0.0149110108613967,0.0641233623027801,0.1221106499433517,0.1427754461765289,0.2878422439098358,3.459077841972957,8,60,50.0,0.001,0.1275874972343444,34.24190139770508,1201.8101806640625,3049.364523962329,0.0787254944443702,17.411869049072266,68.81413269042969,88.56605529785156,0.1959070861339569
0.015468914993107319,0.06553862243890762,0.12437409162521362,0.14811746776103973,0.2995656728744507,3.658103157871856,9,60,51.0,0.001,0.13040345907211304,34.526222229003906,1227.0582275390625,3093.402495634863,0.08037938922643661,17.99271011352539,65.74711608886719,83.80982971191406,0.18717560172080994
