seed,lr,mse,mae,rmse,rse,mape,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,inference_time_ms,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw,run,seq_len
42.0,0.001,0.0151735274121165,0.0666195377707481,0.1231808736920356,0.1452890932559967,0.3026525378227234,0.1325541883707046,34.804534912109375,1246.2108154296875,3045.904955838248,0.0816339924931526,17.45669937133789,2.2079945790066726,66.78995513916016,85.61741638183594,0.1901444494724273,0,60
43.0,0.001,0.0151746068149805,0.0667302384972572,0.1231852546334266,0.145299419760704,0.3033125102519989,0.1327744573354721,34.84414291381836,1248.38720703125,3045.9668415792053,0.0817765519022941,17.007837295532227,1.6340023685188498,66.85358428955078,85.91812896728516,0.1903256177902221,1,60
44.0,0.001,0.0151443779468536,0.0666107833385467,0.1230624988675117,0.1450099796056747,0.3047561943531036,0.132536768913269,34.811092376708984,1246.933837890625,3043.998193166349,0.0816813483834266,18.60358619689941,1.623131842136086,67.04292297363281,85.91890716552734,0.1908646374940872,2,60
45.0,0.001,0.0151199931278824,0.0667588040232658,0.1229633837938308,0.1447764933109283,0.3087039589881897,0.1328312903642654,34.88772201538086,1250.10986328125,3032.8123911643465,0.0818893983960151,11.221735000610352,1.9733290527208165,66.11151123046875,84.66813659667969,0.1882129907608032,3,60
46.0,0.001,0.0150654502213001,0.0667280852794647,0.1227413937449455,0.1442542374134063,0.3093282580375671,0.1327701658010482,34.85771942138672,1250.593505859375,3032.882951912256,0.0819210857152938,15.017858505249023,1.612459473682592,66.2633056640625,84.81421661376953,0.188645139336586,4,60
47.0,0.001,0.015201815403997898,0.06680651754140854,0.12329564243555069,0.14555995166301727,0.3013973832130432,0.13292622566223145,34.86500930786133,1250.6988525390625,3045.0224958118124,0.08192798495292664,13.87446403503418,1.778084473698982,66.97179412841797,86.02682495117188,0.19066214561462402,5,60
48.0,0.001,0.015201469883322716,0.06684171408414841,0.12329424172639847,0.14555664360523224,0.3042491376399994,0.13299624621868134,34.88984680175781,1250.6402587890625,3044.966666484216,0.08192414790391922,16.010852813720703,1.5249195264339888,66.66519165039062,85.50326538085938,0.189789280295372,6,60
49.0,0.001,0.015151231549680233,0.06676236540079117,0.12309034168720245,0.14507560431957245,0.3051427900791168,0.13283836841583252,34.82634353637695,1249.1632080078125,3039.853943859803,0.08182739466428757,16.845727920532227,1.5273330527155562,66.8640365600586,85.84254455566406,0.1903553605079651,7,60
50.0,0.001,0.015115434303879738,0.06677424162626266,0.12294483929872513,0.14473284780979156,0.30784836411476135,0.13286200165748596,34.856117248535156,1249.3292236328125,3040.0006578946654,0.08183826506137848,16.430896759033203,1.5159007368646071,66.58402252197266,85.24410247802734,0.18955817818641663,8,60
51.0,0.001,0.015171253122389317,0.06663602590560913,0.12317164242267609,0.1452673077583313,0.30302679538726807,0.1325869858264923,34.82444763183594,1245.810791015625,3043.407793904721,0.08160778880119324,16.140254974365234,1.5224414212417814,66.84516143798828,85.67990112304688,0.19030164182186127,9,60
