mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,run
0.002893956470592274,0.024436060599475465,0.053795506044578424,0.14433549708113752,0.7835803506245455,0.22109215804262072,40.7128756750604,0.007439866676577367,1.288779587001045,0.30010759830474854,0.5793082118034363,0.12058425694704056,0
0.0030299948737657085,0.021906775013915532,0.0550453892144084,0.15112038508608505,0.4195995554778474,0.19820773253789992,33.139301341515335,0.0018403133435640484,1.0442687219983782,0.26365262269973755,0.20187276601791382,0.5344746112823486,1
0.002944816734790894,0.021957439134017903,0.05426616565403248,0.1468721425315383,0.4194524144309093,0.1986661304700529,33.10840588207052,0.0017266866780119017,1.045244183998875,0.2696673572063446,0.2538975477218628,0.47643527388572693,2
0.002587095984388478,0.02075991270954349,0.05086350346160278,0.12903089203235463,0.3889767135614758,0.1878311720109224,32.160576309322714,0.0018465399868243064,1.0479250569987926,0.22258713841438293,0.3767891526222229,0.400623619556427,3
0.003162868712036625,0.02392664480344725,0.05623938755033366,0.1577474410528206,0.4626388490067774,0.21648307478935302,34.952179327551164,0.0018429999909130856,1.042695394000475,0.3441765010356903,0.27741628885269165,0.3784071207046509,4
0.0020619164079979124,0.016933705284637158,0.04540832972041487,0.10283766625806369,0.2890346279478216,0.15321247996571613,28.557032106589165,0.0017993466462939978,1.0478377590006858,0.3391062915325165,0.15062418580055237,0.5102695226669312,5
0.0020292131769946258,0.016914808287781736,0.04504678875341311,0.10120659918743405,0.2871148701368674,0.15304150405090852,28.530512115935846,0.0024235666690704725,1.0468462140015617,0.33060455322265625,0.1852302849292755,0.4841649830341339,6
0.0020138664322721903,0.01687777729026399,0.0448761231867481,0.10044118338018224,0.28565775373116703,0.15270645564479005,28.690437306080657,0.001720206661654326,1.0496963369987498,0.41124171018600464,0.14687052369117737,0.44188758730888367,7
0.0019744661517640443,0.01683744095805945,0.04443496541873353,0.09847610231207769,0.28509737717505357,0.15234150128979806,28.75321390665993,0.001786833333123165,1.048054222999781,0.38950297236442566,0.23239785432815552,0.37809908390045166,8
0.0019962750644236626,0.016858669202966657,0.0446796940950099,0.09956381744584433,0.28625889928043124,0.1525335698296057,28.59228298486786,0.0020183600039066127,1.0479359870005283,0.3251456320285797,0.21882356703281403,0.4560307562351227,9
