mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.0009179720529776,0.0058608945690244,0.0302980536169844,0.1648759688538402,1.5724487888094305,0.2790470218516928,86.11928069565924,0.7325596000100631,0,59.18035197257996
0.0009161430523779,0.0058656866979707,0.0302678551003862,0.1645474640317935,1.588404313384219,0.2792751831494367,86.74189796038952,0.6503539999812347,1,53.13611650466919
0.0009139937352479,0.0058682943232456,0.030232329305694,0.16416142750373,1.5658061813972173,0.2793993365629645,85.87189973546423,0.7598632000281214,2,63.335111141204834
0.0009094668430691,0.0058506833808522,0.0301573679731687,0.1633483572893809,1.5660857054250723,0.278560850053948,85.049716704894,0.8255470000676723,3,64.65176224708557
0.0009138028344869,0.0058423925175867,0.0302291719120286,0.1641271400242643,1.553438473046726,0.278166108146282,84.12689828813697,1.1777632000303129,4,88.505615234375
0.0009153479699728,0.0058560866019159,0.0302547181439995,0.1644046601398475,1.5578145848630809,0.2788181064724806,85.14327512783935,0.7257881999976235,5,66.72015881538391
0.0009186927814474,0.0058922713296983,0.0303099452564239,0.1650054181157707,1.6154352536357115,0.280540922060663,88.20253144851772,0.678731999869342,6,48.22765851020813
0.0009110529711973,0.0058629111898375,0.0301836540398496,0.1636332400491773,1.572891587770846,0.2791430365514066,85.38057514130207,0.7353250000960543,7,64.48346138000488
0.0009197457317465,0.0058827946413627,0.0303273099985236,0.1651945373816155,1.609888540485827,0.2800897210322313,87.654706234914,0.6298821999735082,8,49.79774594306946
0.0009171926167544,0.0058675974987498,0.0302851880752702,0.1647359751557331,1.5747789637213023,0.2793661595798224,86.2716791718193,0.6652334001046256,9,55.585448026657104
