seed,lr,mse,mae,rmse,rse,mape,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,inference_time_ms,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw,run,seq_len
42.0,0.001,0.0023615842219442,0.0178581904619932,0.0485961325466632,0.1177835538983345,0.2983681559562683,0.1615770161151886,30.66015243530273,1158836.875,6358846.739736381,0.1368638128042221,25.75484848022461,1.7551710866185506,745883.6875,1317598.75,0.0822727233171463,0,24
43.0,0.001,0.0023609567433595,0.0178602002561092,0.048589676618576,0.1177522614598274,0.2985313534736633,0.1615951955318451,30.755332946777344,1159410.75,6356838.925992069,0.1369315832853317,25.84475898742676,1.4793711333368265,745875.5,1317565.25,0.0822718143463134,1,24
44.0,0.001,0.0023616042453795,0.0178582556545734,0.04859634116292,0.1177845448255539,0.2983380258083343,0.1615775972604751,30.64560890197754,1158956.125,6357710.804722089,0.1368778795003891,25.740375518798828,1.4841729666416843,745885.5,1317603.375,0.0822729244828224,2,24
45.0,0.001,0.0023614848032593,0.0178584959357976,0.0485951118171215,0.1177785843610763,0.2983842492103576,0.1615797728300094,30.64692687988281,1158853.25,6358920.944457165,0.1368657350540161,25.74078750610352,1.4485035800013673,745867.75,1317534.5,0.0822709649801254,3,24
46.0,0.001,0.002361062914133,0.0178599804639816,0.0485907681286335,0.1177575513720512,0.2985261976718902,0.1615931987762451,30.70078468322754,1159034.25,6357983.922611947,0.1368871182203292,25.79415702819824,1.4686463334146538,745869.3125,1317539.5,0.0822711363434791,4,24
47.0,0.001,0.00236107618547976,0.017859334126114845,0.04859090596437454,0.11775821447372437,0.2983776330947876,0.16158735752105713,30.72421646118164,1159037.625,6357743.46073951,0.13688750565052032,25.813426971435547,1.5479808466382867,745858.1875,1317435.0,0.08226991444826126,5,24
48.0,0.001,0.0023615476675331593,0.017858363687992096,0.04859575629234314,0.11778172850608826,0.2983158230781555,0.16157858073711395,30.65139389038086,1158912.75,6358539.358070216,0.13687275350093842,25.745302200317383,1.4969029598675359,745866.375,1317527.125,0.08227080851793289,6,24
49.0,0.001,0.00236137374304235,0.017859289422631264,0.04859396815299988,0.11777305603027344,0.29850804805755615,0.1615869402885437,30.682361602783203,1158898.875,6358500.769407833,0.1368711292743683,25.778316497802734,1.45549093344016,745876.25,1317569.25,0.08227190375328064,7,24
50.0,0.001,0.002361578168347478,0.01785792037844658,0.04859607294201851,0.11778324842453003,0.2983368933200836,0.1615745723247528,30.634370803833008,1158864.75,6359173.893598445,0.13686710596084595,25.730806350708008,1.51570565350994,745885.1875,1317604.625,0.08227288722991943,8,24
51.0,0.001,0.0023612978402525187,0.017859388142824173,0.0485931858420372,0.1177692636847496,0.2985042631626129,0.16158784925937653,30.685585021972656,1159044.75,6358331.900027868,0.13688835501670837,25.778167724609375,1.5342331265370983,745866.375,1317526.375,0.08227081596851349,9,24
