mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,run,fit_time_s
0.00274420522951082,0.017432957601851644,0.052385162302992054,0.13686668404277647,0.3112106141422187,0.1577296062746556,28.673753981896148,2.249572199980321,0,279.25902104377747
0.0027782778194627,0.017470621727906,0.0527093712679519,0.1385660476156341,0.3108816661320475,0.1580703830899801,28.479122528110068,2.241837399924407,1,288.26957297325134
0.0027639484681294,0.0174873989654363,0.0525732676189091,0.1378513740990948,0.3146115966362963,0.158222179883758,28.776622721816768,1.6409349998866674,2,228.9307520389557
0.0027717179605637,0.0174645860634162,0.0526471078081569,0.1382388759720367,0.3115158877648368,0.1580157737112773,28.531988680468267,1.979631399990467,3,287.32887959480286
0.0027606389262314,0.0174497016265572,0.0525417826708556,0.1376863113623827,0.3102549882087286,0.1578811025660247,28.57085586855273,2.059244399970339,4,285.5434877872467
0.0027861764746403,0.0175000126164051,0.0527842445682454,0.1389599914544272,0.3090256284050336,0.1583363054524897,28.51676951770612,2.000487998884637,5,288.2142691612244
0.0027606747585437,0.0174793314866725,0.0525421236584873,0.1376880984917565,0.3116758437958153,0.1581491870917085,28.56855946479794,2.112674598902231,6,289.06712675094604
0.0027675542646825,0.0175002892070401,0.0526075495027337,0.1380312124771631,0.3126196063825544,0.1583388079843585,28.678634204234367,1.3409875995421316,7,197.2757589817047
0.002742015858079,0.0174479535737846,0.0523642612673856,0.1367574895828338,0.3144043243244634,0.157865286564984,28.58647146848654,2.082206401246367,8,284.9827792644501
0.0027606234856108,0.0174688836565243,0.0525416357340618,0.1376855412645363,0.3112032763099713,0.1580546573983919,28.504731399498773,1.91710079961922,9,285.7154815196991
