mse,mae,rmse,rse,mape,inference_time_ms,run,seq_len,seed,lr,wape,smape,raw_mae,raw_rmse,raw_wape,raw_smape,od_10_8_mae_raw,od_10_8_rmse_raw,od_10_8_wape_raw
0.0008611545781604,0.0053814342245459,0.0293454360216856,0.1546710282564163,4691.0859375,3.861734529089196,0,24,,,,,,,,,,,
0.0008640012820251,0.005371349863708,0.0293938983231782,0.1551823318004608,4483.65673828125,4.098874705532046,1,24,,,,,,,,,,,
0.0008642052416689,0.0053678411059081,0.0293973684310913,0.1552189588546753,4373.50048828125,3.481788646989598,2,24,,,,,,,,,,,
0.0008660132298246,0.0053652659989893,0.0294281020760536,0.1555436998605728,4264.96435546875,3.376388264608549,3,24,,,,,,,,,,,
0.000864069617819,0.0053697642870247,0.0293950606137514,0.1551945954561233,4433.275390625,3.8905545881575296,4,24,,,,,,,,,,,
0.0007395938737317,0.0053973407484591,0.0271954759955406,0.132837638258934,0.9490246772766112,3.3933757649185066,5,24,47.0,0.001,0.2569764256477356,88.32701110839844,1562.3487548828125,8802.465563692936,0.1154706180095672,65.2386703491211,253.20928955078125,928.504150390625,0.5740907788276672
0.0007380627794191,0.0053927320986986,0.027167310938239,0.1325626522302627,0.9418197274208068,3.57934797038444,6,24,48.0,0.001,0.2567570209503174,89.32970428466797,1574.190673828125,8827.05341549489,0.1163458302617073,65.7669906616211,251.47190856933597,923.2045288085938,0.570151686668396
0.0007366614299826,0.0053903101943433,0.0271415077149868,0.1323109567165374,0.941197633743286,3.241535382371427,7,24,49.0,0.001,0.256641685962677,88.20268249511719,1566.9945068359375,8830.565100830185,0.1158139705657959,65.1502456665039,253.3495941162109,927.798583984375,0.5744088888168335
0.0007370256353169,0.00540187722072,0.0271482169628143,0.1323763728141784,0.9496224522590636,3.320159499922096,8,24,50.0,0.001,0.2571924030780792,90.49813079833984,1578.948974609375,8884.6262723876,0.1166975125670433,67.10636901855469,254.6125946044922,938.9054565429688,0.5772724151611328
0.0007367123034782,0.0053899297490715,0.0271424446254968,0.1323200911283493,0.9389017820358276,3.77150811795325,9,24,51.0,0.001,0.2566235959529876,87.57787322998047,1560.316162109375,8873.98219515906,0.1153203919529914,65.45708465576172,258.0993347167969,944.9219360351562,0.5851777791976929
