mse,mae,rmse,rse,mape,wape,smape,config,dataset,run
0.0064246538649747375,0.04675887121497251,0.08015393854936098,0.06151714346601802,0.23122531886396983,0.09303702970807111,30.798273818852252,full_3branch,SDN,0
0.01484726149074988,0.06519602470293755,0.12184933931191372,0.14216503089502028,0.2970981439653512,0.12972179031544023,34.566171756203175,no_ml_branch,SDN,0
0.008114739977968478,0.052028581844708266,0.09008185154607158,0.07770000281814118,0.2498027514753145,0.10352227478932263,31.473987435409345,no_global_branch,SDN,0
0.009983241407775525,0.055738465033370516,0.0999161719031285,0.09559121889602898,0.2624638678418446,0.11090390106618883,32.36252704384103,static_average,SDN,0
0.00676000585558127,0.04779019435481696,0.08221925477393523,0.06472819529096142,0.23482823856269683,0.09508907329054332,30.934483539025738,full_3branch,SDN,1
0.014881978054317563,0.06538275137104126,0.12199171305591854,0.1424974478417578,0.29603089815251027,0.13009332397560464,34.594116864693945,no_ml_branch,SDN,1
0.008060304490288668,0.051879225384136224,0.08977919853890805,0.07717877384991652,0.25002143489498124,0.1032250973532924,31.450180265458567,no_global_branch,SDN,1
0.009953612956159553,0.055730466510724996,0.09976779518541819,0.09530752147869848,0.26145788300762784,0.11088798625110335,32.33004011602749,static_average,SDN,1
0.00696690788743491,0.04859119259845849,0.08346800517225095,0.0667093171139347,0.239614474066557,0.09668283497583242,31.057127896434476,full_3branch,SDN,2
0.014987903732498423,0.06592743331002786,0.12242509437406378,0.14351170406136704,0.3002915238720102,0.1311770881560094,34.7311536837153,no_ml_branch,SDN,2
0.008073442777861999,0.051918205946953615,0.08985233874453129,0.07730457516754899,0.25190958705684996,0.10330265773245993,31.473913349099575,no_global_branch,SDN,2
0.010020011599656778,0.05613628946995712,0.10010000799029328,0.09594329967995475,0.26510161330789267,0.11169546003593257,32.44305812667424,static_average,SDN,2
0.006439152308490759,0.04679216386909067,0.08024432882447681,0.06165596850602079,0.2300917972819493,0.09310327274537651,30.715630167343583,full_3branch,SDN,3
0.014719418899276523,0.0647635760732208,0.12132361229075123,0.14094091653710772,0.29424274432607883,0.12886133891948592,34.47785242315623,no_ml_branch,SDN,3
0.008077928492301002,0.05203337620797261,0.08987729686801335,0.07734752663925334,0.2523787403051736,0.1035318142265645,31.499377748548753,no_global_branch,SDN,3
0.009901620346450882,0.05546674344034927,0.0995068859247986,0.09480968347873121,0.26031418372829296,0.11036325136132283,32.27267983393641,static_average,SDN,3
0.0064535199956081,0.04666062822369639,0.0803338035674155,0.06179354153147059,0.23172278495065296,0.09284155372970662,30.71630019774327,full_3branch,SDN,4
0.014542166486853567,0.06436694153763774,0.1205909054898153,0.13924369481685808,0.29641165228660693,0.12807214751876467,34.36147709361419,no_ml_branch,SDN,4
0.008066168293450577,0.05199007238559338,0.08981184940446654,0.07723492075338381,0.2537685941020701,0.10344565177429643,31.510731919179953,no_global_branch,SDN,4
0.00981643635998671,0.055198309012199014,0.09907793074134477,0.09399403245278379,0.2626876374966621,0.10982914219192766,32.25427150355361,static_average,SDN,4
0.006471436558957685,0.047075680835444,0.0804452395046325,0.06196509564491524,0.23030253500076717,0.09366739193251615,30.565170356363264,full_3branch,SDN,5
0.014749348189067332,0.06432077450745775,0.12144689452212161,0.14122749453066075,0.29075134668032016,0.12798028808660172,34.190735382471125,no_ml_branch,SDN,5
0.008049982714949298,0.05187244237224181,0.0897216958987585,0.07707994111157435,0.24753094679763687,0.1032116010634391,31.391346668039333,no_global_branch,SDN,5
0.009729710495789712,0.05497185700205307,0.09863929488692481,0.09316361768770101,0.2570303698489184,0.10937856625097864,31.936756025044698,static_average,SDN,5
0.006287178472936567,0.04641711975093586,0.0792917301673798,0.06020079341933851,0.22949818468695218,0.09235704021546391,30.50814463116824,full_3branch,SDN,6
0.014685275410341597,0.06426920918945042,0.12118281813170378,0.1406139868765557,0.29448892994746184,0.12787768757682255,34.22362702846228,no_ml_branch,SDN,6
0.008080874478673337,0.05193439606464115,0.0898936843091512,0.07737573495523808,0.24977640335497164,0.10333487152250946,31.4453571256809,no_global_branch,SDN,6
0.009732029688268034,0.05500000037139334,0.09865105011234312,0.09318582434652072,0.26018410317268836,0.10943456365684752,31.988533834745574,static_average,SDN,6
0.006804192158779268,0.048119353470548305,0.08248752729218684,0.06515128659053837,0.2354558921852671,0.09574400754437051,30.735938785127402,full_3branch,SDN,7
0.01488990556936756,0.0647815697527565,0.12202420075283248,0.14257335513433872,0.2964995376095885,0.12889714129139998,34.29429502283089,no_ml_branch,SDN,7
0.008098739778691705,0.05206604898350006,0.08999299849817043,0.07754679821364723,0.2514870141296961,0.10359682387945833,31.507607392337565,no_global_branch,SDN,7
