mse,mae,rmse,rse,mape,wape,smape,inference_time_ms,gate_train_time_s,mean_w_global,mean_w_local,mean_w_ml,run
0.0064246538649747375,0.04675887121497251,0.08015393854936098,0.06151714346601802,0.23122531886396983,0.09303702970807111,30.798273818852252,0.03757952632249247,0.378655644999526,0.14315587282180786,0.11861658841371536,0.7382277250289917,0
0.00676000585558127,0.04779019435481696,0.08221925477393523,0.06472819529096142,0.23482823856269683,0.09508907329054332,30.934483539025738,0.014149421076581348,0.2465601499998229,0.17706532776355743,0.14663659036159515,0.6762981414794922,1
0.00696690788743491,0.04859119259845849,0.08346800517225095,0.0667093171139347,0.239614474066557,0.09668283497583242,31.057127896434476,0.015810736840649042,0.2365933099999893,0.1694168895483017,0.1855815201997757,0.6450015902519226,2
0.006439152308490759,0.04679216386909067,0.08024432882447681,0.06165596850602079,0.2300917972819493,0.09310327274537651,30.715630167343583,0.014607631591819594,0.24627003299974604,0.14333629608154297,0.13367381691932678,0.7229899168014526,3
0.0064535199956081,0.04666062822369639,0.0803338035674155,0.06179354153147059,0.23172278495065296,0.09284155372970662,30.71630019774327,0.015420947372484462,0.24707270199996856,0.15199550986289978,0.12646664679050446,0.7215377688407898,4
0.006471436558957685,0.047075680835444,0.0804452395046325,0.06196509564491524,0.23030253500076717,0.09366739193251615,30.565170356363264,0.014679894727458688,0.24111996899955557,0.1502765417098999,0.160804882645607,0.6889185905456543,5
0.006287178472936567,0.04641711975093586,0.0792917301673798,0.06020079341933851,0.22949818468695218,0.09235704021546391,30.50814463116824,0.013912368414917421,0.24126781100039807,0.12876568734645844,0.14817209541797638,0.7230620384216309,6
0.006804192158779268,0.048119353470548305,0.08248752729218684,0.06515128659053837,0.2354558921852671,0.09574400754437051,30.735938785127402,0.016533736829603043,0.24850008900011744,0.1909945160150528,0.17017124593257904,0.6388343572616577,7
0.006663987160084609,0.04771473975121575,0.08163324788396337,0.06380880010011854,0.2364765164305677,0.09493893980753897,30.78319463491419,0.01802742104030729,0.2462296840003546,0.14818519353866577,0.1682298332452774,0.683584988117218,8
0.006352219057309244,0.04675966052344389,0.07970080964023668,0.06082356797561157,0.23333708789224944,0.09303860021039062,30.63703160098544,0.014801526288609142,0.24111233500025264,0.14561864733695984,0.12260065972805023,0.7317807078361511,9
