epoch,train_loss,val_loss
0,0.07585843915448469,0.07327270838949415
1,0.07364205884582856,0.07115989095634884
2,0.07046821669620626,0.0671511913339297
3,0.06712992785169798,0.06507256461514367
4,0.06622831271413494,0.06455438004599677
5,0.06485978996052462,0.06409532328446706
6,0.06440101394101101,0.06292979626191987
7,0.06455605701707742,0.06285546761420038
8,0.06402767148307141,0.06286439920465152
9,0.06376232343780644,0.06222686544060707
10,0.06420902864021413,0.06363511996136771
11,0.06385262595380053,0.06266257332430945
12,0.06368671609636616,0.06193632963630888
13,0.06342743222108659,0.06191320220629374
14,0.06376885929528404,0.06368109418286218
15,0.06373137449297835,0.062048724542061486
16,0.06318240075865213,0.06332690806852447
17,0.06327555712093325,0.06182904914021492
18,0.06319605427629807,0.06135925816165076
19,0.06426756418145754,0.06157606881525782
20,0.06290615733493776,0.06165480117003123
21,0.06316686536678497,0.06124508629242579
22,0.06294266057803351,0.06197076208061642
23,0.06310397041413714,0.06258812256985241
24,0.06258443107499796,0.061649648679627314
25,0.06279805379317087,0.061623773641056485
26,0.06372579291243763,0.06211195472213957
27,0.06265508136985933,0.06099270159999529
28,0.06234336956678068,0.061653042005168066
29,0.06262462586164474,0.06109232745236821
30,0.06234191445743337,0.06132736264003648
31,0.06266709439018193,0.06092451016108195
32,0.0635905653676566,0.061304268737634025
33,0.06232870211276938,0.06094085011217329
34,0.062240569907076215,0.06223605449000994
35,0.062255909009014856,0.060908496379852295
36,0.062139376559678244,0.06106739449832174
37,0.062097503091482556,0.06087491288781166
38,0.061988891431075686,0.061046964592403836
39,0.062338554409935194,0.06167304888367653
40,0.0619945854825132,0.060719870030879974
41,0.06190925299683038,0.06087288922733731
42,0.061931889997247386,0.06070620028509034
43,0.06190731086056022,0.06081823425160514
44,0.06188208998783546,0.06075874302122328
45,0.06183775930720217,0.06075963874657949
46,0.061868527575450784,0.06079169942273034
47,0.06184219475835562,0.060744049234522715
48,0.061856247155981904,0.0607327992717425
49,0.06183278303155128,0.06074234263764487
