epoch,train_loss,val_loss
1,0.01214123237169854,0.011875646294405063
2,0.01184226970715951,0.011553753421952327
3,0.011705992996565176,0.011390606847902138
4,0.011669660289860384,0.011345528004070123
5,0.011630985869923359,0.011406310734649499
6,0.011629865708417425,0.011311549295981726
7,0.011607085606047863,0.011269871648401021
8,0.011559156435382457,0.011307983503987392
9,0.011557658642048845,0.011292959668984016
10,0.011546902893245673,0.011272565672794978
11,0.011552795888183235,0.011321242668976387
12,0.01155742139559055,0.011341834962368012
13,0.011552506335391292,0.01142244474341472
14,0.011546732602860538,0.011295631130536398
15,0.011541614204489346,0.011282176195333402
16,0.0115406955468394,0.011289276325454315
17,0.011548639845258836,0.011292108930647374
18,0.011542031863711406,0.011314105012764534
19,0.011541075306898515,0.011306843391309182
20,0.01153856834233827,0.011283111305286487
21,0.011539577386083485,0.011282431967556477
22,0.011546521174930349,0.011305481859793265
23,0.01153540601174811,0.01129946746552984
24,0.011537400924179264,0.011301069154093664
25,0.01153367602871908,0.011404945061852535
26,0.011537118198725434,0.011291503303994735
27,0.011538542955830523,0.011300150975584984
28,0.011534171478164173,0.01132756007835269
29,0.011532605882422439,0.011296063996851444
30,0.011540106419799672,0.011339952306201061
31,0.011536334947587306,0.011331163570284844
32,0.011533289115536008,0.011287868724515041
33,0.011531654961350526,0.011292316230634848
34,0.011532848091803122,0.01130663547043999
35,0.011530898787619497,0.011304215701917808
36,0.011529498218342718,0.011383598521351814
37,0.01153124080255571,0.01131102375065287
