epoch,train_loss,val_loss
0,0.033222950830617375,0.01991193513903353
1,0.019725969526916742,0.018837159706486598
2,0.019050759783781627,0.018347638969620068
3,0.018647752263966727,0.01798638142645359
4,0.018294516183874187,0.017782313128312428
5,0.018094024347031817,0.01752313557598326
6,0.01785458569579265,0.017305795310272112
7,0.017703562783186928,0.017426822748449113
8,0.017601927988888585,0.017144816203249827
9,0.017433760550749654,0.016862401117881138
10,0.017277925631360096,0.01683191272119681
11,0.01717347659937599,0.016788193956017494
12,0.017053634681574562,0.01658907367123498
13,0.016934059943784687,0.016585203508536022
14,0.016822740764302367,0.016255757874912687
15,0.016684794360223937,0.016105732777052455
16,0.0165788572117248,0.016094117528862424
17,0.016440451528657887,0.01602938709159692
18,0.01635883591028259,0.015900720324781206
19,0.016207089538083357,0.01567188546889358
20,0.01608146876370644,0.015734359932442505
21,0.01593928213012131,0.015406540181073878
22,0.015844647498691782,0.015449509748982059
23,0.015701651134911704,0.015157824485666223
24,0.015564156244235003,0.015035711642768648
25,0.015453161658061779,0.015017148003809981
26,0.015333724783404785,0.014810483488771651
27,0.015254553078728564,0.014714382174942229
28,0.015141092473641038,0.014564612155987157
29,0.01505622232113691,0.014426236144370504
30,0.015018276500460856,0.014517271580795446
31,0.014882751672035632,0.01435846286929316
32,0.01480903833940187,0.01458084997203615
33,0.014735217000741293,0.014069428977866968
34,0.014654153725132346,0.014092578863104185
35,0.014563717112383422,0.014233232268856632
36,0.014543887227773666,0.014140078384015296
37,0.014363085262148696,0.013966904953122139
38,0.014359711696777274,0.013691801163885329
39,0.014239202020689845,0.013888073878155814
40,0.014157670248738107,0.013674018180204762
41,0.01409755606094704,0.01359963148004479
42,0.014047483365763636,0.013418017886579037
43,0.014000082005034475,0.013452686990300814
44,0.013925576308632599,0.014319877347184552
45,0.01386397603132269,0.013402765099373128
46,0.013844285009647994,0.01348440514670478
47,0.01381716102032977,0.013093925184673734
48,0.013721257229061687,0.013016730029549863
49,0.013695087790598763,0.013121186962558163
