epoch,seed,lr,train_loss,val_loss
1,49,0.001,0.012171952301426212,0.012057392833133538
2,49,0.0009999383779245895,0.011837039750076503,0.011734992948671181
3,49,0.000999753526902683,0.011713075989333781,0.011671869717538357
4,49,0.0009994454925435043,0.011690501643640362,0.01166229985654354
5,49,0.000999014350849922,0.011684660404478957,0.011647186105449995
6,49,0.0009984602081996978,0.011667000516237652,0.011629967788855234
7,49,0.0009977832013192388,0.011671276540490112,0.011652979428569476
8,49,0.0009969834972498627,0.011650931882542018,0.011608294596274694
9,49,0.000996061293306582,0.011656497022845777,0.01161137462904056
10,49,0.0009950168170294207,0.011660635920088333,0.0116665992513299
11,49,0.0009938503261272716,0.011642225343114331,0.011620671786367893
12,49,0.0009925621084143099,0.01164365003871986,0.011590572347243627
13,49,0.0009911524817389804,0.011639637995447188,0.011570369663337866
14,49,0.0009896217939055723,0.011629297761299983,0.011602366815010706
15,49,0.0009879704225884047,0.011621152344613868,0.011532189175486564
16,49,0.0009861987752386398,0.011608122600452622,0.011514033029476801
17,49,0.0009843072889837514,0.011603867204193858,0.011612156257033348
18,49,0.0009822964305196704,0.011593847670886188,0.011597566915055117
19,49,0.0009801666959956333,0.011574935864293895,0.011463524376352629
20,49,0.0009779186108917661,0.011549058621375329,0.011640993456045787
21,49,0.0009755527298894296,0.011547772845976325,0.011502605192363262
22,49,0.0009730696367343592,0.01154639801975646,0.01150108759601911
23,49,0.0009704699440926359,0.011535985797757628,0.01149927111963431
24,49,0.0009677542933995191,0.011543089381452955,0.01150334062675635
25,49,0.0009649233547011819,0.011541766123436605,0.011600419444342454
26,49,0.000961977826489388,0.011539399100335789,0.011504857862989108
27,49,0.0009589184355291488,0.011539470069608999,0.011515890595813592
28,49,0.0009557459366794051,0.011534437886216673,0.011546974902351697
29,49,0.000952461112706777,0.011542077388179918,0.011501629513998827
30,49,0.0009490647740924278,0.011539534211557637,0.011564263341327508
31,49,0.00094555775883209,0.01153826034925237,0.01150584440678358
32,49,0.0009419409322293028,0.01153349394894011,0.011509407423436641
33,49,0.0009382151866819101,0.01153708506112003,0.011538007942338785
34,49,0.0009343814414618769,0.011542535125212049,0.011525020822882653
35,49,0.0009304406424884702,0.011533702705874612,0.011488685694833597
36,49,0.0009263937620948695,0.011535378103545131,0.011517439397672812
37,49,0.000922241798788257,0.011542674682920454,0.011512492733697097
38,49,0.0009179857770034514,0.011531970207267806,0.011532385994990667
39,49,0.000913626746850144,0.011533036450525998,0.011513337530195712
40,49,0.0009091657838537996,0.011536806868122139,0.011790578514337539
41,49,0.0009046039886902867,0.011531572114056542,0.01163669401158889
42,49,0.0008999424869143022,0.0115375992972012,0.011557679921388626
43,49,0.0008951824286816577,0.011534176339496846,0.01157423528532187
44,49,0.0008903249884654961,0.011529107948490927,0.011639477747182051
45,49,0.0008853713647665072,0.011532355972474893,0.011527982565263908
46,49,0.000880322779817216,0.011535110253035795,0.011512159245709579
47,49,0.0008751804792804151,0.01152705022954804,0.011524607924123605
48,49,0.000869945731941816,0.011538392034346812,0.011511737033724784
49,49,0.0008646198293969955,0.01153306323094703,0.01150777495155732
