epoch,train_loss,val_loss
0,0.0021813776101364548,0.004391173849238411
1,0.0016329244215246607,0.004405832212582669
2,0.0016297322374342357,0.004392918658114094
3,0.0016281137823016714,0.004427335317493142
4,0.0016299132297162787,0.004359631336924127
5,0.001630230751519991,0.004388457458630642
6,0.0016309211950086184,0.004339141490430955
7,0.0016282199185452093,0.004412585972150897
8,0.0016282456581701793,0.004375948988394264
9,0.0016266709081118264,0.004382813630132552
10,0.0016310828140052825,0.004365409063586199
11,0.0016289941189116088,0.004381494665080134
12,0.0016286430063546966,0.004404132750898819
13,0.0016269739145034197,0.004378518456017927
14,0.001627904935187455,0.004368614525232902
15,0.0016244696670259207,0.0043860443847199134
16,0.0016246720096806727,0.004384098786805921
17,0.0016256406443525043,0.004354883036713171
18,0.0016239478116681389,0.004394957491004949
19,0.0016245293870994473,0.004369595841340283
20,0.0016237758435466785,0.0043702219674528085
21,0.0016231479081798787,0.004373835190884112
22,0.001621352405074226,0.004367593597100281
23,0.001624551859202842,0.004387311733273023
24,0.0016238871504063324,0.004359565723194357
25,0.001618737151641083,0.004393679534961634
26,0.0016246230609841266,0.004404898859587882
27,0.0016763680101514367,0.004383162002983119
28,0.0016227756514434971,0.004386962771497886
29,0.001618933604469807,0.004350391706205247
30,0.0016377060723459442,0.004404800841310883
31,0.0016228242084715453,0.004377873528830926
32,0.0016180887972241488,0.00435589486048283
33,0.0016164312462748612,0.004376137029954835
34,0.0016219112745849257,0.004388201399706304
35,0.0016189464289000479,0.0043766917866271205
36,0.0016182835452590075,0.004359171708689674
